Country,EU27,Agglomeration Name,Nr Inhabitants,Area (km2),Nr of people exposed to different noise bands (Lden),,,,,,,Nr of people exposed to different noise bands (Lnight),,,,,,,DF4_8 Date Released,Data Source,URL
Finland,EU27,Vantaa,233775,240,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
France,EU27,Angers,283200,553.06,No data ,No data ,200,100,0,0,0,No data ,No data ,100,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Arras,110200,305.97,No data ,No data ,3500,1600,800,100,0,No data ,No data ,2300,400,100,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Aubergenville,411100,504.72,No data ,No data ,300,0,0,0,0,No data ,No data ,200,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Beauchamp,270700,87.24,No data ,No data ,0,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Besancon,198250,528.6,No data ,No data ,1100,900,300,0,0,No data ,No data ,1100,900,300,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Bordeaux,774900,578.27,No data ,No data ,2200,200,100,0,0,No data ,No data ,300,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Brest,213000,218.37,No data ,No data ,100,0,100,0,0,No data ,No data ,0,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Brunoy,177800,66.36,No data ,No data ,0,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Caen,268900,351.76,No data ,No data ,1400,300,0,0,0,No data ,No data ,100,100,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Cannes,160800,94.83,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Cergy,205700,84.16,No data ,No data ,0,100,0,0,0,No data ,No data ,0,100,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Clermont-Ferrand,291800,300.63,No data ,No data ,5200,1700,1200,200,0,No data ,No data ,1400,1000,100,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Courcouronnes,347000,221.19,No data ,No data ,100,0,0,0,0,No data ,No data ,100,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Dijon,256100,239.96,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Dunkerque,203800,280.43,No data ,No data ,1400,800,200,0,0,No data ,No data ,600,200,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Grenoble,451800,545.54,No data ,No data ,4000,500,200,0,0,No data ,No data ,400,100,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Henin-Beaumont,125900,112.07,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Le Havre,240300,190.65,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Le Mans,210900,267.05,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Le Pecq,341300,139.1,No data ,No data ,500,200,100,0,0,No data ,No data ,400,200,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Lens,245000,239.38,No data ,No data ,1800,600,100,0,0,No data ,No data ,700,100,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Lille,1154100,647.78,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Limoges,211508,520.6,No data ,No data ,700,100,0,0,0,No data ,No data ,100,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Lyon,1375000,533.68,No data ,No data ,41000,14800,2800,800,0,No data ,No data ,11700,2100,600,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Marseille,1886800,3149.22,No data ,No data ,10100,9500,3400,0,0,No data ,No data ,9500,3400,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Metz,220600,306.2,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Montmorency,183100,74.08,No data ,No data ,0,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Montpellier,457800,421.83,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Nancy,260700,142.3,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Nantes,636000,523.35,No data ,No data ,1100,400,100,0,0,No data ,No data ,400,100,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Nice,545000,1465.81,No data ,No data ,800,6100,2600,1200,0,No data ,No data ,2500,1200,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Orleans,287100,334.32,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Orsay,313800,185.85,No data ,No data ,0,0,0,0,0,No data ,No data ,0,0,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Paris,7068800,814.24,No data ,No data ,3900,1100,0,0,0,No data ,No data ,3100,500,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
France,EU27,Perpignan,268500,616.68,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Poitiers,191100,1064.7,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data ,No data 
France,EU27,Reims,299100,1432.36,No data ,No data ,800,500,100,0,0,No data ,No data ,200,100,0,0,0,2024-10-01,Reportnet 3 submission harvested on 18 November 2024,https://reportnet.europa.eu/public/dataflow/873
