Country,Region,Agglomeration,Population,Area_km2,Lden_45_49,Lden_50_54,Lden_55_59,Lden_60_64,Lden_65_69,Lden_70_74,Lden_over_75,Lnight_40_44,Lnight_45_49,Lnight_50_54,Lnight_55_59,Lnight_60_64,Lnight_65_69,Lnight_over_70,Date_Released,Data_Source,URL,Total_Lden,Total_Lnight,Lden_45_49_pct,Lden_50_54_pct,Lden_55_59_pct,Lden_60_64_pct,Lden_65_69_pct,Lden_70_74_pct,Lden_over_75_pct,Lnight_40_44_pct,Lnight_45_49_pct,Lnight_50_54_pct,Lnight_55_59_pct,Lnight_60_64_pct,Lnight_65_69_pct,Lnight_over_70_pct,Total_Lden_pct,Total_Lnight_pct,Lden_45_49_pct_pct,Lden_50_54_pct_pct,Lden_55_59_pct_pct,Lden_60_64_pct_pct,Lden_65_69_pct_pct,Lden_70_74_pct_pct,Lden_over_75_pct_pct,Lnight_40_44_pct_pct,Lnight_45_49_pct_pct,Lnight_50_54_pct_pct,Lnight_55_59_pct_pct,Lnight_60_64_pct_pct,Lnight_65_69_pct_pct,Lnight_over_70_pct_pct
Denmark,EU27,Aarhus,251047.0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,Not applicable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,EU27,Copenhagen,1254256.0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,Not applicable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,EU27,Odense,196695.0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,Not applicable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,EU27,Tallinn,444970.0,159,13800,6800,2000,900,100,100,400,0,4900,1400,700,100,300,100,2023-11-12,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,24100,7500,3.1,1.53,0.45,0.2,0.02,0.02,0.09,0.0,1.1,0.31,0.16,0.02,0.07,0.02,5.42,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,EU27,Tartu,95389.0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-12,Reportnet 3 submission harvested on 16 April 2024,https://reportnet.europa.eu/public/dataflow/873,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,EU27,Espoo,289761.0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,Not applicable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,EU27,Helsinki,653835.0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,Not applicable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,EU27,Jyvaskyla,142400.0,1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,Not applicable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,EU27,Kauniainen,9797.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,Not applicable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,EU27,Kuopio,119235.0,3241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not applicable,Not applicable,Not applicable,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
